Collections,Correlation factor between price and number of sales
cryptokitties,-0.045304701
cryptopunks,0.043278363
decentraland,-0.09694687
boredapeyachtclub,0.072446071
mutant-ape-yacht-club,-0.020007768
meebits,-0.070974178
cool-cats-nft,0.049912176
sorare,0.031474052
parallelalpha,-0.083022625
cryptoadz-by-gremplin,-0.067115197
0n1-force,-0.241338585
mekaverse,-0.253822201
pudgypenguins,-0.147762995
zed-run,-0.013163906
fidenza-by-tyler-hobbs,0.16955842
hashmasks,-0.07854959
bored-ape-kennel-club,-0.054708899
veefriends,-0.004742672
creatureworld,-0.087362938
axie,-0.039778406
doodles-official,0.050396596
lostpoets,-0.005536747
world-of-women-nft,-0.103395459
the-doge-pound,0.049352332
ringers-by-dmitri-cherniak,0.0076854
sneaky-vampire-syndicate,-0.238440451
lazy-lions,-0.066238277
